1	 46116	 32012	 38005	 40003	 46004	 0	 0	 0	 
1	 -63608	 31016	 37009	 39008	 45008	 0	 0	 0	 
1	 -42019	 31011	 37005	 39003	 45003	 0	 0	 0	 
1	 42019	 32011	 38005	 40003	 46003	 0	 0	 0	 
1	 55126	 32014	 38008	 40006	 46006	 0	 0	 0	 
-1	 56542	 32014	 38013	 40014	 46014	 0	 0	 0	 
1	 46405	 32012	 38006	 40005	 46005	 0	 0	 0	 
1	 49922	 32013	 38004	 40001	 46002	 0	 0	 0	 
-1	 -34970	 31009	 37009	 39010	 45010	 0	 0	 0	 
-1	 35822	 32009	 38012	 40015	 46014	 0	 0	 0	 
-1	 56831	 32014	 38014	 40016	 46015	 0	 0	 0	 
1	 72345	 32018	 38011	 40010	 46009	 0	 0	 0	 
1	 54563	 32014	 38006	 40003	 46003	 0	 0	 0	 
-1	 52189	 32013	 38012	 40014	 46013	 0	 0	 0	 
-1	 -56558	 31014	 37013	 39015	 45014	 0	 0	 0	 
-1	 56558	 32014	 38013	 40015	 46014	 0	 0	 0	 
-1	 -47531	 31012	 37010	 39011	 45011	 0	 0	 0	 
-1	 25959	 32007	 38006	 40007	 46007	 0	 0	 0	 
1	 -59239	 31015	 37008	 39007	 45007	 0	 0	 0	 
1	 -62738	 31016	 37006	 39002	 45002	 0	 0	 0	 
1	 -33299	 31009	 37003	 39002	 45003	 0	 0	 0	 
1	 55416	 32014	 38009	 40008	 46008	 0	 0	 0	 
1	 67977	 32017	 38010	 40009	 46009	 0	 0	 0	 
1	 -42036	 31011	 37005	 39004	 45004	 0	 0	 0	 
1	 50195	 32013	 38005	 40002	 46003	 0	 0	 0	 
1	 -41730	 31011	 37004	 39001	 45002	 0	 0	 0	 
-1	 35550	 32009	 38011	 40014	 46014	 0	 0	 0	 
1	 -63045	 31016	 37007	 39005	 45005	 0	 0	 0	 
1	 -49938	 31013	 37004	 39002	 45002	 0	 0	 0	 
1	 -50195	 31013	 37005	 39002	 45003	 0	 0	 0	 
-1	 -26522	 31007	 37008	 39010	 45010	 0	 0	 0	 
