3	10	0.0200904
20	6	0.0121242
276	13	0.019536
292	11	0.0268011
293	11	0.0349826
565	17	0.0391579
566	4	0.0135761
582	6	0.0162666
4099	8	0.0131766
4372	14	0.02523
4388	16	0.0193731
4645	9	0.0212349
4661	44	0.0778433
4662	18	0.0482171
4678	7	0.0163191
4934	17	0.0373986
4935	10	0.0157169
4951	21	0.0421001
5224	10	0.0210624
8194	20	0.0448086
8195	24	0.053751
8467	22	0.0414138
8468	28	0.0569296
8484	12	0.0209496
8740	14	0.0230264
8741	18	0.0387174
8757	52	0.118439
8758	11	0.0223081
9014	6	0.0132609
9030	34	0.0513868
9031	17	0.0297568
9047	24	0.0554852
9303	24	0.0382788
9320	48	0.114532
9337	7	0.015055
9593	17	0.049146
10156	4	0.0135594
12290	29	0.0553247
12291	5	0.013575
12563	85	0.183807
12580	10	0.0222281
12820	7	0.0197208
12836	100	0.246608
12837	36	0.101812
12853	75	0.18285
12854	9	0.0149826
13109	31	0.05705
13110	33	0.0664354
13126	139	0.313332
13127	16	0.0417977
13143	31	0.0733051
13399	84	0.187053
13416	65	0.183646
13672	17	0.0351318
13689	43	0.104918
13706	12	0.0348563
13962	15	0.0341083
13978	6	0.0144414
13979	19	0.0406406
14252	5	0.0171441
14268	8	0.0163238
14269	3	0.0150637
16642	31	0.0523832
16659	121	0.23979
16915	34	0.0584248
16916	91	0.194672
16932	323	0.757805
16933	72	0.159848
16949	71	0.159021
17205	276	0.711348
17206	36	0.0910931
17222	308	0.805937
17223	8	0.0223333
17478	65	0.141713
17479	8	0.0212956
17494	17	0.0538978
17495	287	0.741591
17496	6	0.0172725
17511	8	0.0241574
17512	78	0.225019
17767	4	0.011737
17768	124	0.301309
17784	28	0.0714507
17785	105	0.261291
17801	7	0.0203296
17802	3	0.0111983
18041	5	0.0207808
18057	25	0.0670203
18058	72	0.192522
18074	31	0.0887174
18075	19	0.0692542
18331	14	0.0324192
18347	27	0.0689707
18348	26	0.0763664
18364	14	0.0421877
18620	9	0.0149684
18621	6	0.0174786
18637	11	0.0329693
18638	7	0.0147728
18654	4	0.0129327
18910	10	0.0224939
18911	4	0.012
18927	8	0.0186076
19200	7	0.0117929
21011	121	0.190132
21028	445	0.914486
21029	9	0.0217954
21284	152	0.302311
21285	83	0.17962
21301	1063	2.48835
21302	23	0.0638199
21317	14	0.0390684
21318	270	0.758808
21574	680	1.75041
21575	7	0.016904
21590	83	0.209432
21591	598	1.65605
21607	13	0.0350202
21608	10	0.0257059
21847	69	0.152934
21863	102	0.287814
21864	497	1.35497
21880	134	0.361499
21881	133	0.408113
22137	145	0.422875
22153	107	0.29279
22154	151	0.395026
22170	49	0.138384
22171	14	0.054338
22410	3	0.0112789
22426	58	0.1875
22427	95	0.256441
22443	88	0.261518
22444	41	0.106046
22460	4	0.0171347
22700	17	0.0539402
22716	74	0.190486
22717	46	0.122043
22733	39	0.145481
22734	7	0.017517
22989	11	0.0313222
22990	11	0.0304237
23006	42	0.134132
23007	6	0.0186234
23023	11	0.0347336
25107	15	0.0297218
25108	6	0.0132295
25124	54	0.0893745
25380	292	0.473549
25381	6	0.0134815
25397	1182	2.40884
25653	274	0.536229
25669	185	0.404173
25670	2128	5.01807
25686	386	0.981338
25687	530	1.46898
25943	1047	2.6985
25959	479	1.32308
25960	904	2.48718
25976	111	0.30307
26216	24	0.0533289
26232	269	0.711201
26233	553	1.55634
26249	391	1.14103
26250	159	0.527043
26506	154	0.430896
26522	298	0.857587
26523	149	0.442757
26539	134	0.410839
26795	88	0.243874
26796	99	0.314864
26812	190	0.5149
26813	49	0.159571
26829	18	0.0467657
27069	9	0.0299031
27085	130	0.4171
27086	28	0.086168
27102	91	0.28991
27103	7	0.0212365
27358	23	0.0694707
27359	7	0.0223487
27375	82	0.223674
27648	9	0.0190547
29476	12	0.0174853
29493	82	0.123108
29749	351	0.487732
29765	303	0.425547
29766	2318	4.2441
29782	152	0.373361
30022	165	0.249174
30038	1052	2.13455
30039	2972	6.83982
30055	1440	3.57821
30056	544	1.45708
30311	19	0.0506026
30312	1135	2.90858
30328	1184	3.15297
30329	915	2.29838
30345	355	0.908562
30346	6	0.0168429
30601	513	1.37161
30602	458	1.26853
30618	720	1.90973
30619	159	0.480599
30635	21	0.0573673
30874	18	0.0540165
30875	87	0.289984
30891	552	1.61035
30892	132	0.358434
30908	276	0.723686
31164	133	0.369924
31165	55	0.153444
31180	12	0.0297337
31181	333	0.971832
31182	23	0.0786211
31197	7	0.0196806
31453	4	0.0208823
31454	188	0.53688
31455	11	0.0261773
31471	142	0.449376
31727	20	0.0699343
31743	23	0.072573
31744	47	0.174723
33861	14	0.013858
33862	86	0.0900727
34118	250	0.286106
34134	775	1.05434
34135	2361	3.71077
34151	628	1.21183
34407	1863	3.22747
34408	2143	4.46096
34424	2087	4.47343
34425	398	0.90341
34680	48	0.130914
34681	577	1.2879
34697	1468	3.46719
34698	494	1.11828
34714	498	1.1735
34970	480	1.10249
34971	187	0.418809
34987	785	1.79555
34988	50	0.121666
35003	3	0.0126828
35004	56	0.152431
35243	8	0.0148829
35244	8	0.0222772
35259	7	0.0174438
35260	544	1.30256
35261	26	0.0646292
35276	22	0.0473612
35277	314	0.766139
35533	128	0.311451
35534	5	0.0117875
35549	42	0.105161
35550	317	0.788889
35551	6	0.0128276
35566	60	0.15851
35567	76	0.191167
35822	10	0.0199672
35823	190	0.460697
35839	60	0.158187
35840	68	0.184884
38231	47	0.0549886
38487	54	0.0455119
38503	921	1.08095
38504	1263	1.82574
38520	1074	1.83408
38776	1489	2.60096
38777	723	1.58496
38793	1592	3.67317
38794	94	0.210569
38810	16	0.0324735
39049	55	0.104334
39050	95	0.215565
39066	710	1.58013
39067	52	0.130863
39083	245	0.511497
39339	179	0.364723
39340	6	0.0128217
39355	11	0.027229
39356	280	0.54823
39372	13	0.0203169
39373	39	0.075985
39629	197	0.401024
39645	48	0.0640916
39646	115	0.208474
39902	29	0.0571903
39918	57	0.0994208
39919	132	0.200898
39935	60	0.122787
39936	25	0.0427838
42872	382	0.373875
42873	223	0.291569
42889	697	1.13539
43145	791	1.24197
43146	83	0.180337
43162	1035	1.94747
43179	27	0.0422854
43418	32	0.0699706
43434	23	0.0413221
43435	406	0.889318
43451	25	0.0447845
43452	86	0.17795
43708	41	0.0827205
43724	23	0.0433631
43725	80	0.161108
43741	17	0.0401153
43742	5	0.0123437
43998	32	0.0550639
44014	17	0.0303883
44015	27	0.0383666
44031	4	0.0131073
47241	87	0.0832714
47258	345	0.427868
47514	251	0.3355
47530	101	0.149239
47531	592	0.963023
47547	41	0.0666979
47803	50	0.0794999
47804	180	0.363801
47820	31	0.0770004
47821	27	0.0597662
48077	10	0.0251707
48093	10	0.0208225
48110	7	0.0138664
51627	60	0.0728554
51883	20	0.0192445
51899	71	0.0758703
51900	204	0.265729
51916	76	0.110136
52172	34	0.0347396
52173	82	0.127835
52190	10	0.018977
56269	93	0.0942978
